ts,strategy_id,profile_id,mode,action,ticker,direction,qty,price,usd,order_id,status,reason,signal_ready_time,shadow_exit_time,sim_mode
2026-06-05T10:38:16-04:00,,,PAPER,BUY,A,LONG,36,136.4800,4913.28,PAPER,success,entry,2026-06-05T10:30:00-04:00,2026-06-05T10:40:00-04:00,True
2026-06-05T10:48:28-04:00,,,PAPER,SELL,A,LONG,36,136.8900,4928.04,PAPER,success,shadow_exit,2026-06-05T10:30:00-04:00,2026-06-05T10:40:00-04:00,True
2026-06-05T10:48:28-04:00,,,PAPER,BUYTOCOVER,APP,SHORT,8,567.0900,4536.72,PAPER,success,shadow_exit,2026-06-05T10:30:00-04:00,2026-06-05T10:40:00-04:00,True
2026-06-05T10:48:28-04:00,,,PAPER,SELLSHORT,ODFL,SHORT,20,247.5950,4951.90,PAPER,success,entry,2026-06-05T10:40:00-04:00,2026-06-05T10:50:00-04:00,True
2026-06-05T10:58:31-04:00,,,PAPER,BUYTOCOVER,ODFL,SHORT,20,248.3150,4966.30,PAPER,success,shadow_exit,2026-06-05T10:40:00-04:00,2026-06-05T10:50:00-04:00,True
2026-06-05T11:09:21-04:00,,,PAPER,BUY,WDAY,LONG,34,145.1700,4935.78,PAPER,success,entry,2026-06-05T11:00:00-04:00,2026-06-05T11:10:00-04:00,True
2026-06-05T11:19:41-04:00,,,PAPER,SELL,WDAY,LONG,34,145.0950,4933.23,PAPER,success,shadow_exit,2026-06-05T11:00:00-04:00,2026-06-05T11:10:00-04:00,True
2026-06-08T10:12:03-04:00,,,PAPER,BUY,FICO,LONG,4,1196.0000,4784.00,PAPER,success,entry,2026-06-08T10:10:00-04:00,2026-06-08T10:20:00-04:00,True
2026-06-08T10:22:15-04:00,,,PAPER,SELL,FICO,LONG,4,1194.3100,4777.24,PAPER,success,shadow_exit,2026-06-08T10:10:00-04:00,2026-06-08T10:20:00-04:00,True
2026-06-08T10:22:15-04:00,,,PAPER,BUY,ALAB,LONG,14,343.6300,4810.82,PAPER,success,entry,2026-06-08T10:20:00-04:00,2026-06-08T10:30:00-04:00,True
2026-06-08T10:34:19-04:00,,,PAPER,SELL,ALAB,LONG,14,347.9450,4871.23,PAPER,success,shadow_exit,2026-06-08T10:20:00-04:00,2026-06-08T10:30:00-04:00,True
2026-06-08T10:47:39-04:00,,,PAPER,BUY,SATS,LONG,43,113.7550,4891.47,PAPER,success,entry,2026-06-08T10:40:00-04:00,2026-06-08T10:50:00-04:00,True
2026-06-08T10:47:40-04:00,,,PAPER,BUY,MPWR,LONG,3,1554.8400,4664.52,PAPER,success,entry,2026-06-08T10:40:00-04:00,2026-06-08T10:50:00-04:00,True
2026-06-08T10:58:21-04:00,,,PAPER,SELL,MPWR,LONG,3,1557.5800,4672.74,PAPER,success,shadow_exit,2026-06-08T10:40:00-04:00,2026-06-08T10:50:00-04:00,True
2026-06-08T10:58:21-04:00,,,PAPER,SELL,SATS,LONG,43,113.4550,4878.56,PAPER,success,shadow_exit,2026-06-08T10:40:00-04:00,2026-06-08T10:50:00-04:00,True
2026-06-08T10:58:21-04:00,,,PAPER,SELLSHORT,HPE,SHORT,100,49.8800,4988.00,PAPER,success,entry,2026-06-08T10:50:00-04:00,2026-06-08T11:00:00-04:00,True
2026-06-08T10:58:22-04:00,,,PAPER,BUY,AEM,LONG,30,164.4100,4932.30,PAPER,success,entry,2026-06-08T10:50:00-04:00,2026-06-08T11:00:00-04:00,True
2026-06-08T11:08:24-04:00,,,PAPER,SELL,AEM,LONG,30,164.2450,4927.35,PAPER,success,shadow_exit,2026-06-08T10:50:00-04:00,2026-06-08T11:00:00-04:00,True
2026-06-08T11:08:24-04:00,,,PAPER,BUYTOCOVER,HPE,SHORT,100,50.1100,5011.00,PAPER,success,shadow_exit,2026-06-08T10:50:00-04:00,2026-06-08T11:00:00-04:00,True
2026-06-09T10:13:34-04:00,,,PAPER,SELLSHORT,ALAB,SHORT,13,359.7500,4676.75,PAPER,success,entry,2026-06-09T10:10:00-04:00,2026-06-09T10:20:00-04:00,True
2026-06-09T10:13:34-04:00,,,PAPER,BUY,SNDK,LONG,2,1775.3001,3550.60,PAPER,success,entry,2026-06-09T10:10:00-04:00,2026-06-09T10:20:00-04:00,True
2026-06-09T10:24:11-04:00,,,PAPER,BUYTOCOVER,ALAB,SHORT,13,355.8500,4626.05,PAPER,success,shadow_exit,2026-06-09T10:10:00-04:00,2026-06-09T10:20:00-04:00,True
2026-06-09T10:24:11-04:00,,,PAPER,SELL,SNDK,LONG,2,1750.0000,3500.00,PAPER,success,shadow_exit,2026-06-09T10:10:00-04:00,2026-06-09T10:20:00-04:00,True
2026-06-09T10:24:11-04:00,,,PAPER,SELLSHORT,IR,SHORT,67,74.1500,4968.05,PAPER,success,entry,2026-06-09T10:20:00-04:00,2026-06-09T10:30:00-04:00,True
2026-06-09T10:24:11-04:00,,,PAPER,BUY,DXCM,LONG,64,78.0400,4994.56,PAPER,success,entry,2026-06-09T10:20:00-04:00,2026-06-09T10:30:00-04:00,True
2026-06-09T10:43:29-04:00,,,PAPER,SELL,DXCM,LONG,64,78.4175,5018.72,PAPER,success,shadow_exit,2026-06-09T10:20:00-04:00,2026-06-09T10:30:00-04:00,True
2026-06-09T10:43:29-04:00,,,PAPER,BUYTOCOVER,IR,SHORT,67,73.7300,4939.91,PAPER,success,shadow_exit,2026-06-09T10:20:00-04:00,2026-06-09T10:30:00-04:00,True
2026-06-09T10:43:48-04:00,,,PAPER,BUY,NVDA,LONG,24,207.1200,4970.88,PAPER,success,entry,2026-06-09T10:40:00-04:00,2026-06-09T10:50:00-04:00,True
2026-06-09T10:54:36-04:00,,,PAPER,SELL,NVDA,LONG,24,205.1700,4924.08,PAPER,success,shadow_exit,2026-06-09T10:40:00-04:00,2026-06-09T10:50:00-04:00,True
2026-06-09T10:54:36-04:00,,,PAPER,BUY,CRDO,LONG,20,238.4900,4769.80,PAPER,success,entry,2026-06-09T10:50:00-04:00,2026-06-09T11:00:00-04:00,True
2026-06-09T10:54:37-04:00,,,PAPER,BUY,RKLB,LONG,45,110.4101,4968.45,PAPER,success,entry,2026-06-09T10:50:00-04:00,2026-06-09T11:00:00-04:00,True
2026-06-09T11:04:39-04:00,,,PAPER,SELL,CRDO,LONG,20,235.8600,4717.20,PAPER,success,shadow_exit,2026-06-09T10:50:00-04:00,2026-06-09T11:00:00-04:00,True
2026-06-09T11:04:39-04:00,,,PAPER,SELL,RKLB,LONG,45,109.9300,4946.85,PAPER,success,shadow_exit,2026-06-09T10:50:00-04:00,2026-06-09T11:00:00-04:00,True
2026-06-10T10:43:46-04:00,,,PAPER,BUY,FSLR,LONG,19,255.0591,4846.12,PAPER,success,entry,2026-06-10T10:40:00-04:00,2026-06-10T10:50:00-04:00,True
2026-06-10T10:56:17-04:00,,,PAPER,SELL,FSLR,LONG,19,252.8400,4803.96,PAPER,success,shadow_exit,2026-06-10T10:40:00-04:00,2026-06-10T10:50:00-04:00,True
2026-06-10T10:56:17-04:00,,,PAPER,BUY,PHG,LONG,192,25.9650,4985.28,PAPER,success,entry,2026-06-10T10:50:00-04:00,2026-06-10T11:00:00-04:00,True
2026-06-10T11:06:44-04:00,,,PAPER,SELL,PHG,LONG,192,25.8600,4965.12,PAPER,success,shadow_exit,2026-06-10T10:50:00-04:00,2026-06-10T11:00:00-04:00,True
2026-06-11T10:11:00-04:00,,,PAPER,BUY,CRDO,LONG,19,261.6050,4970.50,PAPER,success,entry,2026-06-11T10:10:00-04:00,2026-06-11T10:20:00-04:00,True
2026-06-11T10:22:52-04:00,,,PAPER,SELL,CRDO,LONG,19,260.6900,4953.11,PAPER,success,shadow_exit,2026-06-11T10:10:00-04:00,2026-06-11T10:20:00-04:00,True
2026-06-11T10:43:38-04:00,,,PAPER,BUY,NOW,LONG,48,103.0400,4945.92,PAPER,success,entry,2026-06-11T10:40:00-04:00,2026-06-11T10:50:00-04:00,True
2026-06-11T10:54:49-04:00,,,PAPER,SELL,NOW,LONG,48,102.4200,4916.16,PAPER,success,shadow_exit,2026-06-11T10:40:00-04:00,2026-06-11T10:50:00-04:00,True
2026-06-12T10:11:11-04:00,,,PAPER,BUY,COHR,LONG,13,380.1150,4941.49,PAPER,success,entry,2026-06-12T10:10:00-04:00,2026-06-12T10:20:00-04:00,True
2026-06-12T10:21:38-04:00,,,PAPER,SELL,COHR,LONG,13,386.4200,5023.46,PAPER,success,shadow_exit,2026-06-12T10:10:00-04:00,2026-06-12T10:20:00-04:00,True
2026-06-12T10:43:21-04:00,,,PAPER,BUY,RKLB,LONG,46,107.4000,4940.40,PAPER,success,entry,2026-06-12T10:40:00-04:00,2026-06-12T10:50:00-04:00,True
2026-06-12T10:53:30-04:00,,,PAPER,SELL,RKLB,LONG,46,104.7400,4818.04,PAPER,success,shadow_exit,2026-06-12T10:40:00-04:00,2026-06-12T10:50:00-04:00,True
2026-06-12T10:53:30-04:00,,,PAPER,SELLSHORT,NVDA,SHORT,24,205.3500,4928.40,PAPER,success,entry,2026-06-12T10:50:00-04:00,2026-06-12T11:00:00-04:00,True
2026-06-12T11:03:34-04:00,,,PAPER,BUYTOCOVER,NVDA,SHORT,24,205.8732,4940.96,PAPER,success,shadow_exit,2026-06-12T10:50:00-04:00,2026-06-12T11:00:00-04:00,True
2026-06-15T10:39:49-04:00,,,PAPER,SELLSHORT,MDLN,SHORT,135,36.9700,4990.95,PAPER,success,entry,2026-06-15T10:30:00-04:00,2026-06-15T10:40:00-04:00,True
2026-06-15T10:39:51-04:00,,,PAPER,BUY,DELL,LONG,12,410.5310,4926.37,PAPER,success,entry,2026-06-15T10:30:00-04:00,2026-06-15T10:40:00-04:00,True
2026-06-15T10:40:13-04:00,,,PAPER,SELL,DELL,LONG,12,410.5750,4926.90,PAPER,success,shadow_exit,2026-06-15T10:30:00-04:00,2026-06-15T10:40:00-04:00,True
2026-06-15T10:40:13-04:00,,,PAPER,BUYTOCOVER,MDLN,SHORT,135,36.9750,4991.62,PAPER,success,shadow_exit,2026-06-15T10:30:00-04:00,2026-06-15T10:40:00-04:00,True
2026-06-15T10:40:13-04:00,,,PAPER,BUY,NBIS,LONG,20,248.1100,4962.20,PAPER,success,entry,2026-06-15T10:40:00-04:00,2026-06-15T10:50:00-04:00,True
2026-06-15T10:50:19-04:00,,,PAPER,SELL,NBIS,LONG,20,250.6115,5012.23,PAPER,success,shadow_exit,2026-06-15T10:40:00-04:00,2026-06-15T10:50:00-04:00,True
2026-06-16T10:20:17-04:00,escalator_reclaimed_long_shadow,escalator_reclaimed_long_shadow_v1_20260510,PAPER,BUY,UAL,LONG,41,120.7800,4951.98,PAPER,success,entry,2026-06-16T10:20:00-04:00,2026-06-16T10:30:00-04:00,True
2026-06-16T10:27:43-04:00,escalator_reclaimed_shadow,escalator_reclaimed_bidirectional_v1_20260510,PAPER,SELLSHORT,HPE,SHORT,101,49.1250,4961.62,PAPER,success,entry,2026-06-16T10:20:00-04:00,2026-06-16T10:30:00-04:00,True
2026-06-16T10:30:23-04:00,escalator_reclaimed_shadow,escalator_reclaimed_bidirectional_v1_20260510,PAPER,BUYTOCOVER,HPE,SHORT,101,49.3500,4984.35,PAPER,success,shadow_exit,2026-06-16T10:20:00-04:00,2026-06-16T10:30:00-04:00,True
2026-06-16T10:30:23-04:00,escalator_reclaimed_long_shadow,escalator_reclaimed_long_shadow_v1_20260510,PAPER,SELL,UAL,LONG,41,120.2100,4928.61,PAPER,success,shadow_exit,2026-06-16T10:20:00-04:00,2026-06-16T10:30:00-04:00,True
2026-06-16T10:37:57-04:00,escalator_reclaimed_shadow,escalator_reclaimed_bidirectional_v1_20260510,PAPER,SELLSHORT,ENTG,SHORT,31,161.2555,4998.92,PAPER,success,entry,2026-06-16T10:30:00-04:00,2026-06-16T10:40:00-04:00,True
2026-06-16T10:40:28-04:00,escalator_reclaimed_shadow,escalator_reclaimed_bidirectional_v1_20260510,PAPER,BUYTOCOVER,ENTG,SHORT,31,161.0300,4991.93,PAPER,success,shadow_exit,2026-06-16T10:30:00-04:00,2026-06-16T10:40:00-04:00,True
2026-06-16T10:52:53-04:00,escalator_reclaimed_long_shadow,escalator_reclaimed_long_shadow_v1_20260510,PAPER,BUY,ALAB,LONG,13,371.3700,4827.81,PAPER,success,entry,2026-06-16T10:50:00-04:00,2026-06-16T11:00:00-04:00,True
